"ID" "name_C" "name_lib" "level_C" "order" "name_E" "level_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard" "level_code"
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "0-免疫" 28 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T028" "拟茎点种腐病" 0 "T028-0-"
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "1-高抗" 28 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T028" "拟茎点种腐病" 0 "T028-1-"
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "3-抗" 28 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T028" "拟茎点种腐病" 0 "T028-3-"
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "7-感" 28 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T028" "拟茎点种腐病" 0 "T028-7-"
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "9-高感" 28 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T028" "拟茎点种腐病" 0 "T028-9-"
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "99-分离" 28 NA "0-MianYi_1-GaoKang_3-Kang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T028" "拟茎点种腐病" 0 "T028-99-"
30 "霜霉病" "ShuangMeiBing" "0-免疫" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-0-"
30 "霜霉病" "ShuangMeiBing" "1-高抗" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-1-"
30 "霜霉病" "ShuangMeiBing" "3-抗" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-3-"
30 "霜霉病" "ShuangMeiBing" "5-中抗" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-5-"
30 "霜霉病" "ShuangMeiBing" "7-感" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-7-"
30 "霜霉病" "ShuangMeiBing" "9-高感" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-9-"
30 "霜霉病" "ShuangMeiBing" "99-分离" 29 NA "0-MianYi_1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T029" "霜霉病" 0 "T029-99-"
31 "灰斑病" "HuiBanBing" "1-高抗" 30 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T030" "灰斑病" 0 "T030-1-"
31 "灰斑病" "HuiBanBing" "3-抗" 30 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T030" "灰斑病" 0 "T030-3-"
31 "灰斑病" "HuiBanBing" "5-中抗" 30 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T030" "灰斑病" 0 "T030-5-"
31 "灰斑病" "HuiBanBing" "7-感" 30 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T030" "灰斑病" 0 "T030-7-"
31 "灰斑病" "HuiBanBing" "9-高感" 30 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T030" "灰斑病" 0 "T030-9-"
31 "灰斑病" "HuiBanBing" "99-分离" 30 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T030" "灰斑病" 0 "T030-99-"
32 "细菌性斑点病" "XiJunXingBanDianBing" "1-高抗" 31 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T031" "细菌性斑点病" 0 "T031-1-"
32 "细菌性斑点病" "XiJunXingBanDianBing" "3-抗" 31 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T031" "细菌性斑点病" 0 "T031-3-"
32 "细菌性斑点病" "XiJunXingBanDianBing" "5-中抗" 31 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T031" "细菌性斑点病" 0 "T031-5-"
32 "细菌性斑点病" "XiJunXingBanDianBing" "7-感" 31 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T031" "细菌性斑点病" 0 "T031-7-"
32 "细菌性斑点病" "XiJunXingBanDianBing" "9-高感" 31 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T031" "细菌性斑点病" 0 "T031-9-"
32 "细菌性斑点病" "XiJunXingBanDianBing" "99-分离" 31 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T031" "细菌性斑点病" 0 "T031-99-"
33 "锈病" "XiuBing" "1-高抗" 32 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T032" "锈病" 0 "T032-1-"
33 "锈病" "XiuBing" "3-抗" 32 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T032" "锈病" 0 "T032-3-"
33 "锈病" "XiuBing" "5-中抗" 32 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T032" "锈病" 0 "T032-5-"
33 "锈病" "XiuBing" "7-感" 32 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T032" "锈病" 0 "T032-7-"
33 "锈病" "XiuBing" "9-高感" 32 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T032" "锈病" 0 "T032-9-"
33 "锈病" "XiuBing" "99-分离" 32 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T032" "锈病" 0 "T032-99-"
34 "根腐病" "GenFuBing" "3-抗" 33 NA "3-Kang_5-ZhongKang_7-Gan_99-FenLi" "soybean" "C" "T033" "根腐病" 0 "T033-3-"
34 "根腐病" "GenFuBing" "5-中抗" 33 NA "3-Kang_5-ZhongKang_7-Gan_99-FenLi" "soybean" "C" "T033" "根腐病" 0 "T033-5-"
34 "根腐病" "GenFuBing" "7-感" 33 NA "3-Kang_5-ZhongKang_7-Gan_99-FenLi" "soybean" "C" "T033" "根腐病" 0 "T033-7-"
34 "根腐病" "GenFuBing" "99-分离" 33 NA "3-Kang_5-ZhongKang_7-Gan_99-FenLi" "soybean" "C" "T033" "根腐病" 0 "T033-99-"
35 "孢囊线虫病" "BaoNangXianChongBing" "1-高抗" 34 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T034" "孢囊线虫病" 0 "T034-1-"
35 "孢囊线虫病" "BaoNangXianChongBing" "3-抗" 34 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T034" "孢囊线虫病" 0 "T034-3-"
35 "孢囊线虫病" "BaoNangXianChongBing" "5-中抗" 34 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T034" "孢囊线虫病" 0 "T034-5-"
35 "孢囊线虫病" "BaoNangXianChongBing" "7-感" 34 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T034" "孢囊线虫病" 0 "T034-7-"
35 "孢囊线虫病" "BaoNangXianChongBing" "9-高感" 34 NA "1-GaoKang_3-Kang_5-ZhongKang_7-Gan_9-GaoGan_99-FenLi" "soybean" "C" "T034" "孢囊线虫病" 0 "T034-9-"
